No;ID Postingan BBC;Teks Postingan (Caption BBC);text;Username;Tanggal Komentar
136;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";yg penting rakyat sudah mengingatken daripada pak;omsenank1;Tue Feb 18 00:28:44 +0000 2025
137;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";nyimak aja udah;urloveeeee_i;Mon Feb 17 14:07:06 +0000 2025
138;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";viral anak kecil jadi macam;fit23937;Tue Feb 18 07:30:59 +0000 2025
139;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";heboh di x doang.keadaan didunia nyata biasa2 aja;faktur_ackerman;Wed Feb 19 01:43:28 +0000 2025
140;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";kok narasinya 'mereka sebut memburuk' ya emang buruk minnnn astagaa;dilarahayat09;Mon Feb 17 17:05:00 +0000 2025
141;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";anj masih aja bawa2 anak abah cuk. emang tolol voters 02 ngga diragukan lagi;buttercupied;Mon Feb 17 15:12:08 +0000 2025
142;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";kalangan bawah antri gas rame rame ama pada di phk;fturediplomat;Tue Feb 18 03:41:12 +0000 2025
143;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";"para mahasiswa mendesak pemerintah bertanggung jawab atas situasi negara yang ""mereka"" sebut memburuk. kelihatan hati-hati banget dalam pemilihan diksinya. kalu hanya ""mereka"" yang merasa situasi sekarang buruk, lantas bagaimana dengan pendapat ""sisanya""?";rabeledlebel;Mon Feb 17 13:49:28 +0000 2025
144;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";ya, itulah, pemerintah sudah lupa diri;SurjawanDe33967;Mon Feb 17 12:22:25 +0000 2025
145;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";ak juga tau pas liat x;de_capulet13;Tue Feb 18 16:02:48 +0000 2025
146;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";efisiensi hanya untuk memakmurkan anjing-anjing istana.;Bravo_munte;Mon Feb 17 18:31:37 +0000 2025
147;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";yailah akun ternak;XBA2454;Mon Feb 17 23:12:14 +0000 2025
